accession,gene,length,moltype,organism,created,title
NM_000077.6,CDKN2A,1191,rna,Homo sapiens,1999/03/19,"Homo sapiens cyclin dependent kinase inhibitor 2A (CDKN2A), transcript variant 1, mRNA"
NM_001142769.4,PCDH15,5878,rna,Homo sapiens,2008/12/19,"Homo sapiens protocadherin related 15 (PCDH15), transcript variant I, mRNA"
NM_001441094.1,IQSEC2,5112,rna,Homo sapiens,2025/06/04,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 6, mRNA"
NM_001441093.1,IQSEC2,5325,rna,Homo sapiens,2025/06/04,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 5, mRNA"
NM_001441092.1,IQSEC2,7654,rna,Homo sapiens,2025/06/04,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 8, mRNA"
NM_001441095.1,IQSEC2,6779,rna,Homo sapiens,2025/06/04,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 7, mRNA"
NM_001440614.1,MYO1F,3759,rna,Homo sapiens,2025/05/22,"Homo sapiens myosin IF (MYO1F), transcript variant 8, mRNA"
NM_001440611.1,MYO1F,3861,rna,Homo sapiens,2025/05/22,"Homo sapiens myosin IF (MYO1F), transcript variant 5, mRNA"
NM_001440610.1,MYO1F,3876,rna,Homo sapiens,2025/05/22,"Homo sapiens myosin IF (MYO1F), transcript variant 4, mRNA"
NM_001440609.1,MYO1F,3909,rna,Homo sapiens,2025/05/22,"Homo sapiens myosin IF (MYO1F), transcript variant 3, mRNA"
NM_001440612.1,MYO1F,3852,rna,Homo sapiens,2025/05/22,"Homo sapiens myosin IF (MYO1F), transcript variant 6, mRNA"
NM_001440613.1,MYO1F,3774,rna,Homo sapiens,2025/05/22,"Homo sapiens myosin IF (MYO1F), transcript variant 7, mRNA"
