accession,gc
NM_000077.6,0.5953
NM_001142769.4,0.4416
NM_001441094.1,0.6064
NM_001441093.1,0.6053
NM_001441092.1,0.5434
NM_001441095.1,0.519
NM_001440614.1,0.6015
NM_001440611.1,0.5996
NM_001440610.1,0.6004
NM_001440609.1,0.6012
NM_001440612.1,0.5992
NM_001440613.1,0.6007
NM_001440368.1,0.6175
NM_001439236.1,0.6006
NM_001439235.1,0.5969
NM_001330446.2,0.4395
NM_001439325.1,0.4396
NM_001439324.1,0.44
NM_001439234.1,0.6023
NM_001439233.1,0.601
NM_019899.3,0.5483
NM_019902.2,0.549
NM_019898.3,0.5483
NM_001438718.1,0.5506
NM_001438715.1,0.5498
NM_001438719.1,0.5491
NM_019901.2,0.5495
NM_001438717.1,0.5515
NM_001438720.1,0.5486
NM_001438755.1,0.5467
NM_001425120.1,0.4779
NM_001425109.1,0.5781
NM_001425110.1,0.5807
NM_001425111.1,0.5787
NM_001425112.1,0.5853
NM_001425121.1,0.5621
NM_001425117.1,0.583
NM_001425107.1,0.581
NM_001425114.1,0.5824
NM_001425108.1,0.5821
NM_001425118.1,0.5622
NM_001425113.1,0.584
NM_001425116.1,0.5872
NM_001425119.1,0.5854
NM_001410736.1,0.6249
NM_019862.3,0.5488
NM_001394396.1,0.5696
NM_152434.3,0.3933
NM_001330711.2,0.4412
NM_003432.4,0.4414
NM_001388319.1,0.466
NM_001330712.2,0.4388
NM_001297548.3,0.4365
NM_183356.4,0.448
NM_001160174.3,0.3571
NM_001349915.2,0.5088
NM_207006.3,0.5489
NM_016574.4,0.6207
NM_001363341.2,0.4987
NM_033663.6,0.4792
