accession,gc
NM_000077.6,0.5953
NM_001142769.4,0.4416
NM_001441094.1,0.6064
NM_001441093.1,0.6053
NM_001441092.1,0.5434
NM_001441095.1,0.519
NM_001440614.1,0.6015
NM_001440611.1,0.5996
NM_001440610.1,0.6004
NM_001440609.1,0.6012
NM_001440612.1,0.5992
NM_001440613.1,0.6007
NM_001440368.1,0.6175
NM_001439236.1,0.6006
NM_001439235.1,0.5969
NM_001330446.2,0.4395
NM_001439325.1,0.4396
NM_001439324.1,0.44
NM_001439234.1,0.6023
NM_001439233.1,0.601
NM_019899.3,0.5483
NM_019902.2,0.549
NM_019898.3,0.5483
NM_001438718.1,0.5506
NM_001438715.1,0.5498
NM_001438719.1,0.5491
NM_019901.2,0.5495
NM_001438717.1,0.5515
NM_001438720.1,0.5486
NM_001438755.1,0.5467
NM_001425120.1,0.4779
NM_001425109.1,0.5781
NM_001425110.1,0.5807
NM_001425111.1,0.5787
NM_001425112.1,0.5853
NM_001425121.1,0.5621
NM_001425117.1,0.583
NM_001425107.1,0.581
NM_001425114.1,0.5824
NM_001425108.1,0.5821
NM_001425118.1,0.5622
NM_001425113.1,0.584
NM_001425116.1,0.5872
NM_001425119.1,0.5854
NM_001410736.1,0.6249
NM_019862.3,0.5488
NM_001394396.1,0.5696
NM_152434.3,0.3933
NM_001330711.2,0.4412
NM_003432.4,0.4414
NM_001388319.1,0.466
NM_001330712.2,0.4388
NM_001297548.3,0.4365
NM_183356.4,0.448
NM_001160174.3,0.3571
NM_001349915.2,0.5088
NM_207006.3,0.5489
NM_016574.4,0.6207
NM_001363341.2,0.4987
NM_033663.6,0.4792
NM_001291332.2,0.5865
NM_001349914.2,0.5159
NM_001039091.3,0.4266
NM_024793.3,0.4208
NM_001303251.2,0.3969
NM_001349913.2,0.4888
NM_001160173.4,0.3874
NM_001349916.2,0.5131
NM_001204402.2,0.4669
NM_001385622.1,0.4606
NM_020151.4,0.4919
NM_017708.4,0.6257
NM_001382752.1,0.4024
NM_001382751.1,0.4043
NM_001382665.1,0.6555
NM_001382664.1,0.6557
NM_002765.5,0.4261
NM_001360.3,0.5805
NM_017912.4,0.4555
NM_001165136.2,0.4591
NM_198488.5,0.6614
NM_002764.4,0.4647
NM_000796.6,0.4816
NM_000381.4,0.4334
NM_001330707.2,0.4054
NM_001288587.3,0.6074
NM_001330704.2,0.4074
NM_001321630.2,0.56
NM_001330715.2,0.4154
NM_001330710.2,0.4069
NM_001330708.2,0.4051
NM_001347733.2,0.4321
NM_033290.4,0.4257
NM_001330714.2,0.4135
NM_001330713.2,0.4157
NM_001330717.2,0.4241
NM_001330716.2,0.4211
NM_033289.2,0.4276
NM_001163817.2,0.5791
NM_052817.3,0.4241
NM_012216.4,0.4256
NM_001330706.2,0.4073
NM_001330709.2,0.409
NM_001160172.4,0.3959
NM_001160175.4,0.3948
NM_001111035.3,0.5969
NM_001193322.2,0.5859
NM_001160171.4,0.3985
NM_001348355.2,0.59
NM_001322023.2,0.5767
NM_001160179.3,0.3837
NM_001330375.2,0.4197
NM_001178075.2,0.4262
NM_015075.2,0.6054
NM_001363616.2,0.3852
NM_001303404.2,0.4561
NM_001303405.2,0.4586
NM_001204889.2,0.4729
NM_001178076.2,0.4271
NM_052828.3,0.4839
NM_001303407.2,0.4559
NM_001193321.2,0.5857
NM_001111034.3,0.5882
NM_001303406.2,0.4658
NM_001291962.2,0.3911
NM_001243197.2,0.5803
NM_001160176.4,0.3808
NM_001111036.3,0.5915
NM_001352496.2,0.4724
NM_001160170.4,0.4098
NM_001330454.2,0.4275
NM_138435.4,0.5185
NM_012335.4,0.5897
NM_000797.4,0.7327
NM_000798.5,0.5859
NM_030919.3,0.5076
NM_015492.5,0.6255
NM_001086.3,0.3839
NM_178468.6,0.6046
NM_001145191.2,0.3448
NM_018294.6,0.4574
NM_002022.3,0.416
NM_000795.4,0.6175
NM_153613.3,0.5561
NM_206967.3,0.6191
NM_014002.4,0.5867
NM_175886.3,0.4587
NM_004564.3,0.5015
NM_018292.5,0.405
NM_152589.3,0.3881
NM_033396.3,0.6227
NM_004134.7,0.4208
NM_002126.5,0.4324
NM_024556.4,0.4405
NM_001010872.3,0.3773
NM_004996.4,0.5487
NM_001111125.3,0.6251
NM_001039464.4,0.5717
NM_015041.3,0.4266
NM_176818.3,0.4476
NM_145111.4,0.4024
NM_001159.4,0.4535
NM_005309.3,0.6543
NM_006205.3,0.4374
NM_022090.5,0.3971
NM_000794.5,0.4659
NM_000662.8,0.3719
NM_017911.4,0.5161
NM_006778.4,0.4975
NM_001673.5,0.4273
NM_015650.4,0.4523
NM_000690.4,0.4761
NM_001039999.3,0.6162
NM_001611.5,0.5793
NM_001104595.2,0.5213
NM_001348119.1,0.531
NM_001348122.1,0.5209
NM_001348125.1,0.5125
NM_006470.4,0.5287
NM_001348121.1,0.5215
NM_001348124.1,0.5142
NM_001348126.1,0.5178
NM_001348120.1,0.5363
NM_001330705.1,0.3976
NM_032899.6,0.574
NM_001282563.2,0.5395
NM_001290809.1,0.5178
NM_001193280.1,0.4599
NM_001193279.1,0.4619
NM_001193278.1,0.4611
NM_001193277.1,0.4263
NM_001098624.2,0.4245
NM_001178077.1,0.4389
NM_133436.3,0.4575
NM_001139490.1,0.4537
NM_001385036.1,0.4273
NM_152596.4,0.4268
NM_001286441.2,0.4278
NM_017843.5,0.578
NM_001305122.3,0.4316
NM_001305121.3,0.4357
NM_001394806.1,0.4352
NM_001394804.1,0.473
NM_153208.3,0.4363
NM_001394805.1,0.4586
NM_153347.3,0.5353
NM_001448114.1,0.4902
NM_001010974.3,0.5649
NM_001446100.1,0.5757
NM_001270584.2,0.4541
NM_001308164.2,0.3972
NM_001270585.2,0.4399
NM_001308166.2,0.4311
NM_001385854.1,0.348
NM_001146214.3,0.3496
NM_001385850.1,0.3494
NM_001146213.3,0.3491
NM_001385848.1,0.3488
NM_001385849.1,0.3492
NM_001385853.1,0.3503
NM_022771.6,0.3516
NM_001385851.1,0.3497
NM_001385852.1,0.3475
NM_198799.4,0.5754
NM_024996.7,0.396
NM_001374356.1,0.4084
NM_001374358.1,0.4017
NM_001374360.1,0.4007
NM_001374359.1,0.4008
NM_001374357.1,0.4149
NM_001374355.1,0.4073
NM_001374361.1,0.4018
NM_001244710.2,0.382
NM_152319.4,0.4823
NM_002056.4,0.3814
NM_016204.4,0.5579
NM_005564.5,0.5598
NM_207408.3,0.4059
NM_024726.5,0.4485
NM_001448089.1,0.4523
NM_001448090.1,0.4414
NM_001448091.1,0.4582
NM_001282208.2,0.587
NM_170681.3,0.4035
NM_001282207.2,0.5875
NM_001282209.2,0.5862
NM_001282206.2,0.5852
NM_147157.3,0.5896
NM_001281302.2,0.4188
NM_001282205.2,0.5832
NM_170691.3,0.4141
NM_032380.5,0.4143
NM_005866.4,0.5885
NM_001428335.1,0.6523
NM_001428277.1,0.4408
NM_001428279.1,0.4296
NM_001114636.2,0.3927
NM_002977.4,0.3845
NM_001287748.2,0.4639
NM_001425772.1,0.4534
NM_001425398.1,0.3847
NM_001425325.1,0.3647
NM_000644.3,0.3688
NM_000028.3,0.3634
NM_001425324.1,0.5236
NM_001425328.1,0.3647
NM_001425332.1,0.3633
NM_001425327.1,0.3631
NM_001425326.1,0.3645
NM_001425329.1,0.3642
NM_001425309.1,0.4442
NM_001425300.1,0.439
NM_001425308.1,0.4415
NM_001425307.1,0.44
NM_001425313.1,0.4015
NM_001425312.1,0.3871
NM_001425302.1,0.4406
NM_001425311.1,0.4398
NM_001425301.1,0.4389
NM_001425258.1,0.5238
NM_001425259.1,0.5208
NM_001425262.1,0.5262
NM_001425263.1,0.5257
NM_001425260.1,0.5263
NM_001425264.1,0.5217
NM_001425257.1,0.5214
NM_001425261.1,0.5209
NM_001425241.1,0.4274
NM_001425242.1,0.4283
NM_001425243.1,0.4266
NM_001425219.1,0.4274
NM_001425218.1,0.3946
NM_001425234.1,0.427
NM_001425230.1,0.4321
NM_001425225.1,0.4309
NM_001425229.1,0.4335
NM_001425239.1,0.4399
NM_001425228.1,0.4258
NM_001425221.1,0.4309
NM_001425220.1,0.4266
NM_001425236.1,0.4348
NM_001425215.1,0.4003
NM_001425216.1,0.3953
NM_001425240.1,0.4201
NM_001425224.1,0.4341
NM_001425212.1,0.395
NM_001425222.1,0.4262
NM_001425214.1,0.4008
NM_001425238.1,0.4214
NM_001425237.1,0.433
NM_001425163.1,0.5657
NM_001425175.1,0.5688
NM_001425169.1,0.5657
NM_001425172.1,0.5666
NM_001425170.1,0.5604
NM_001425166.1,0.5654
NM_001425171.1,0.5655
NM_001425174.1,0.569
NM_001425161.1,0.5659
NM_001425167.1,0.5641
NM_001425165.1,0.5661
NM_001425156.1,0.592
NM_001145266.2,0.5984
NM_001425097.1,0.6663
NM_001425070.1,0.4473
NM_001425096.1,0.6674
NM_001425098.1,0.6577
NM_001425063.1,0.5691
NM_001425059.1,0.5669
NM_001425058.1,0.5659
NM_001425062.1,0.5635
NM_001425052.1,0.568
NM_001425065.1,0.5617
NM_001425061.1,0.5606
NM_001425054.1,0.5621
NM_001424411.1,0.5505
NM_001424359.1,0.5325
NM_001424354.1,0.5376
NM_001424355.1,0.5445
NM_001424351.1,0.543
NM_001424356.1,0.5397
NM_001424358.1,0.5412
NM_001424353.1,0.5446
NM_001424352.1,0.5361
NM_001424357.1,0.5413
NM_001424160.1,0.6442
NM_001424168.1,0.6486
NM_001424169.1,0.6444
NM_001424164.1,0.6446
NM_001424162.1,0.6497
NM_001424159.1,0.6492
NM_001424161.1,0.643
NM_001424121.1,0.5035
NM_001424120.1,0.5652
NM_001424106.1,0.4715
NM_001424111.1,0.6293
NM_001424112.1,0.6291
NM_001424108.1,0.6336
NM_001424104.1,0.4678
NM_001424070.1,0.3784
NM_001424074.1,0.4197
NM_001424072.1,0.4145
NM_001424073.1,0.4304
NM_001424075.1,0.4114
NM_001424071.1,0.4182
NM_001422628.1,0.4963
NM_001365.5,0.5376
NM_001419813.1,0.4311
NM_001419811.1,0.4289
NM_001419809.1,0.4302
NM_001419810.1,0.4307
NM_001419814.1,0.4305
NM_001419815.1,0.4292
NM_012312.5,0.5188
NM_012234.7,0.3923
NM_003890.3,0.6342
NM_207007.4,0.483
NM_001012989.3,0.4025
NM_001083539.3,0.5229
NM_001193289.2,0.4916
NM_014513.3,0.5191
NM_001018081.2,0.5153
NM_001405666.3,0.4873
NM_001416004.1,0.3884
NM_001416005.1,0.4233
NM_001415968.1,0.4731
NM_001415967.1,0.4718
NM_001415971.1,0.4711
NM_001415960.1,0.4689
NM_001415966.1,0.4723
NM_001415962.1,0.4693
NM_001415973.1,0.4737
NM_001415964.1,0.4698
NM_001415974.1,0.471
NM_001415970.1,0.4731
NM_001415963.1,0.4699
NM_001415969.1,0.4705
NM_001415943.1,0.4109
NM_001415942.1,0.3881
NM_001415939.1,0.4114
NM_001415941.1,0.4106
NM_001415938.1,0.4132
NM_001415940.1,0.4113
NM_001415873.1,0.3918
NM_001415871.1,0.3921
NM_001042664.2,0.6372
NM_001265593.2,0.6407
NM_001265594.3,0.6336
NM_001042665.2,0.6355
NM_003895.4,0.4334
NM_001160302.2,0.4184
NM_001379447.2,0.4717
NM_001414745.1,0.4603
NM_001414744.1,0.4423
NM_001414514.1,0.5964
NM_001414513.1,0.6006
NM_001414511.1,0.5925
NM_001414515.1,0.6023
NM_001414503.1,0.4357
NM_001414484.1,0.5949
NM_001448086.1,0.6608
NM_001448085.1,0.6084
NM_001407310.1,0.4361
NM_001407296.1,0.4281
